Activity Name,Address,Region,Postcode,Latitude,Longitude,Activity Type,Day,Time,Type,Organisation,ran by,Referral service,YM Member,Age range,Website,Email,Contact Name 1,Number,Contact Name 2,Number.1,Activities,Unnamed: 22,Unnamed: 23,Unnamed: 24
Creative Youth Club,Church Street ,Chatham,ME4 4BT,51.37999,0.529106,Creative Expression,Thursday,16:30-20:30,Theatre and Performance,Icon Theatre,Icon Theatre,,Yes,13-19 ,https://icontheatre.org.uk/,sarah@icontheatre.org.uk,Sarah Chiswell-Hornett,07710100778,,,,,,
The Children's Workshop,256 St Margarets Banks,Rochester,ME1 1HY,51.384714,0.509761,Creative Expression,Saturday,13:30-15:30,Theatre and Performance,The Youth Company,The Youth Company,,No,7-12,www.mlt.org.uk,info@mlt.org.uk,,01634400322,,,,,,
The Youth Company,256 St Margarets Banks,Rochester,ME1 1HY,51.384714,0.509761,Creative Expression,Saturday,10:30-12:30,Theatre and Performance,The Youth Company,The Youth Company,,No,12-18,www.mlt.org.uk,info@mlt.org.uk,,01634400322,,,,,,
Children Theatre,338 High Street,Chatham,ME4 4NR,51.379687,0.530598,Creative Expression,Friday,18:00-19:30,Theatre and Performance,Spotlites,Spotlites,,No,6-11,,takepart@spotlites,,01634 829468,,,,,,
Children Theatre,338 High Street,Chatham,ME4 4NR,51.379687,0.530598,Creative Expression,Saturday,10:00-11:30,Theatre and Performance,Spotlites,Spotlites,,No,6-11,,takepart@spotlites,,01634 829468,,,,,,
Youth Theatre,338 High Street,Chatham,ME4 4NR,51.379687,0.530598,Creative Expression,Wednesday,20:00-21:30,Theatre and Performance,Spotlites,Spotlites,,No,12-17,,takepart@spotlites,,01634 829468,,,,,,
Youth Theatre,338 High Street,Chatham,ME4 4NR,51.379687,0.530598,Creative Expression,Friday,20:00-21:30,Theatre and Performance,Spotlites,Spotlites,,No,12-17,,takepart@spotlites,,01634 829468,,,,,,
Youth Theatre,338 High Street,Chatham,ME4 4NR,51.379687,0.530598,Creative Expression,Saturday,12:00-13:30,Theatre and Performance,Spotlites,Spotlites,,No,12-17,,takepart@spotlites,,01634 829468,,,,,,
Aqua Park,Maritime Way,Chatham,ME4 4QT,51.40256,0.538404,Sports and Recreation,Booking required,,Watersports,Chatham Maritime Watersports,Chatham Maritime Watersports,,No,6+,https://chathammaritimewatersports.co.uk/,loac@cmtrust.co.uk,Matt,07538964335,,,,,,
Kayaking,Maritime Way,Chatham,ME4 4QT,51.40256,0.538404,Sports and Recreation,Booking required,,Watersports,Chatham Maritime Watersports,Chatham Maritime Watersports,,No,6+,https://chathammaritimewatersports.co.uk/,wac@cmtrust.co.uk,,,,,,,,
Paddleboarding,Maritime Way,Chatham,ME4 4QT,51.40256,0.538404,Sports and Recreation,Booking required,,Watersports,Chatham Maritime Watersports,Chatham Maritime Watersports,,No,6+,https://chathammaritimewatersports.co.uk/,wac@cmtrust.co.uk,,,,,,,,
Pedalos,Maritime Way,Chatham,ME4 4QT,51.40256,0.538404,Sports and Recreation,Booking required,,Watersports,Chatham Maritime Watersports,Chatham Maritime Watersports,,No,6+,https://chathammaritimewatersports.co.uk/,wac@cmtrust.co.uk,,,,,,,,
Sailing,Maritime Way,Chatham,ME4 4QT,51.40256,0.538404,Sports and Recreation,Booking required,,Watersports,Chatham Maritime Watersports,Chatham Maritime Watersports,,No,6+,https://chathammaritimewatersports.co.uk/,loac@cmtrust.co.uk,Matt,07538964335,,,,,,
Windsurfing,Maritime Way,Chatham,ME4 4QT,51.40256,0.538404,Sports and Recreation,Booking required,,Watersports,Chatham Maritime Watersports,Chatham Maritime Watersports,,No,6+,https://chathammaritimewatersports.co.uk/,wac@cmtrust.co.uk,,,,,,,,
Detached Youth Sessions,Gillingham High Street,Gillingham,ME7 1BS,51.386921,0.54665,Youth input,Tuesday ,18:00-20:00,Youth input into services,Medway council,Medway Council,,No,8+,,,,,,,,,,
Brighter Futures,3 Birch Place ,Strood,DA9 9DP,51.444079,0.262002,Social and Community,,,,,,,No,,,brighterfutuers-si.org.uk,,,,,Personal Development for young NEETS,,,
this is a test,104 BEATTY AVENUE,Kent,me72da,0.0,0.0,python,wednesdays,20:00,coding skills,Digital Solutions,,,,13+,,adelle_king@outlook.com,,,,,,,,
